`#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2019 03 10 07 00  1.8  1.5 19.0  0.9  4.3 NNW NNW      SWELL  6.8 332
2019 03 10 06 00  2.2  1.9 19.0  1.0  4.0  NW NNE      SWELL  7.0 317
2019 03 10 05 00  1.8  1.5 19.0  0.9  4.3 WNW NNE      SWELL  6.4 296
2019 03 10 04 00  1.7  1.4 19.0  0.9  3.7  NW   N      SWELL  6.1 308
2019 03 10 03 00  1.7  1.6 19.0  0.6  3.7  NW   N      SWELL  7.9 308
2019 03 10 02 00  1.1  1.1 19.0  0.4  3.8 SSE NNW      SWELL  6.8 158
2019 03 10 01 00  1.2  1.1 21.1  0.4  4.2  NW NNW      SWELL  7.7 308
2019 03 10 00 00  1.2  1.1 21.1  0.3  5.0 WNW WNW      SWELL  8.1 297
2019 03 09 23 00  1.1  1.0 11.4  0.4  3.3   W   E      SWELL  6.7 281
2019 03 09 22 00  1.1  1.1 21.1  0.4  3.4  NW   E      SWELL  7.0 314
2019 03 09 21 00  1.2  1.1 10.0  0.4  3.6   W ENE      SWELL  6.5 268
2019 03 09 20 00  1.2  1.1 10.0  0.6  3.8 WNW ENE      SWELL  5.8 288
2019 03 09 19 00  1.3  1.1 10.8  0.8  4.0 WNW   E      SWELL  5.6 295
2019 03 09 18 00  1.3  1.0 10.0  0.8  4.2 WNW   E      SWELL  5.4 286
2019 03 09 17 00  1.4  1.2 10.0  0.7  3.8 WNW   E      SWELL  5.9 289
2019 03 09 16 00  1.3  1.1 10.0  0.7  3.7   W   E      SWELL  5.7 281
2019 03 09 15 00  1.2  1.1 10.8  0.6  3.4 WNW   E      SWELL  5.8 286
2019 03 09 14 00  1.2  1.1 10.8  0.5  5.3 WNW WNW      SWELL  6.3 287
2019 03 09 13 00  1.2  1.1 10.8  0.4  4.5 WNW   W      SWELL  6.7 285
2019 03 09 12 00  1.2  1.2 10.8  0.4  4.3 WNW   W      SWELL  6.8 291
2019 03 09 11 00  1.2  1.2 11.4  0.3  4.2 WNW  SW      SWELL  6.8 287
2019 03 09 10 00  1.2  1.2 11.4  0.3  2.6 WNW   E      SWELL  6.5 287
2019 03 09 09 00  1.3  1.2 11.4  0.3  3.7 WNW WNW      SWELL  7.1 289
2019 03 09 08 00  1.2  1.1 10.8  0.4  3.8 WNW WSW      SWELL  6.6 288
2019 03 09 07 00  1.2  1.2 11.4  0.3  4.0 WNW   W      SWELL  6.7 295
2019 03 09 06 00  1.3  1.3 12.1  0.3  3.8 WNW WSW      SWELL  7.1 289
2019 03 09 05 00  1.3  1.3 11.4  0.3  3.7   W  SW      SWELL  6.9 262
2019 03 09 04 00  1.3  1.2 12.1  0.4  4.0  NW WSW      SWELL  6.6 308
2019 03 09 03 00  1.3  1.3 12.1  0.4  4.0 WNW WSW      SWELL  6.6 298
2019 03 09 02 00  1.3  1.2 12.1  0.4  4.0 WNW   W      SWELL  6.2 285
2019 03 09 01 00  1.4  1.4 12.1  0.4  4.0   W WNW      SWELL  7.0 278
2019 03 09 00 00  1.4  1.3 12.1  0.3  3.3 WNW  SW      SWELL  7.0 285`
