`#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2019 03 19 20 00  2.5  2.3 13.8  1.0  4.2   W   E      SWELL  8.0 271
2019 03 19 19 00  2.0  1.8 12.9  0.8  4.5   W   E      SWELL  7.6 267
2019 03 19 18 00  2.1  1.9 14.8  0.9  4.8   W   E      SWELL  7.2 278
2019 03 19 17 00  2.2  2.0 12.9  0.9  4.0 WSW   E      SWELL  7.5 248
2019 03 19 16 00  2.0  1.7 12.1  1.0  4.3 WSW   E      SWELL  6.7 251
2019 03 19 15 00  2.2  1.9 14.8  0.9  4.5   W   E      SWELL  7.3 276
2019 03 19 14 00  2.0  1.8 14.8  1.0  4.8   W   E      SWELL  7.0 276
2019 03 19 13 00  2.1  1.9 16.0  0.9  4.3 WNW   E      SWELL  7.3 298
2019 03 19 12 00  2.2  1.8 16.0  1.2  4.3 WNW   E      SWELL  6.6 284
2019 03 19 11 00  1.9  1.5 13.8  1.1  4.5   W   E      SWELL  6.2 270
2019 03 19 10 00  1.8  1.5 13.8  1.0  4.5   W ESE      SWELL  6.1 275
2019 03 19 09 00  1.7  1.4 12.1  1.0  4.5   W ESE      SWELL  6.1 260
2019 03 19 08 00  1.7  1.4 13.8  1.0  4.2   W ESE      SWELL  6.0 276
2019 03 19 07 00  1.5  1.2 11.4  0.9  4.2   W ESE      SWELL  5.6 264
2019 03 19 06 00  1.6  1.4 11.4  0.8  3.8 WSW ESE      SWELL  6.6 258
2019 03 19 05 00  1.5  1.3 11.4  0.9  4.2   W ESE      SWELL  5.9 263
2019 03 19 04 00  1.4  1.2 11.4  0.7  4.0   W ESE      SWELL  6.5 274
2019 03 19 03 00  1.4  1.2 11.4  0.7  4.0   W ESE      SWELL  6.3 280
2019 03 19 02 00  1.5  1.3 12.1  0.7  4.3   W ESE      SWELL  6.5 273
2019 03 19 01 00  1.3  1.1 11.4  0.8  4.3   W ESE      SWELL  5.4 280
2019 03 19 00 00  1.6  1.3 11.4  0.9  4.3   W ESE      SWELL  6.0 268
2019 03 18 23 00  1.8  1.5 11.4  0.9  4.0   W   E      SWELL  6.4 275
2019 03 18 22 00  1.7  1.4 11.4  1.0  4.3   W ESE      SWELL  6.2 276
2019 03 18 21 00  1.7  1.3 12.1  1.1  4.8   W ESE      SWELL  6.0 276
2019 03 18 20 00  1.8  1.5 11.4  1.1  4.5   W ESE      SWELL  6.2 268
2019 03 18 19 00  1.8  1.4 12.9  1.1  4.8 WNW ESE      SWELL  6.1 293
2019 03 18 18 00  1.7  1.4 12.1  1.0  4.3   W ESE      SWELL  6.1 269
2019 03 18 17 00  1.7  1.3 11.4  1.0  4.3   W   E      SWELL  6.1 269
2019 03 18 16 00  1.7  1.3 12.9  1.0  4.8   W ENE      SWELL  5.9 281
